Genome	PSM count	Peptide count	Unique peptide count	GTDB_Name	GTDB_Rank	GTDB_Superkingdom	GTDB_Kingdom	GTDB_Phylum	GTDB_Class	GTDB_Order	GTDB_Family	GTDB_Genus	GTDB_Species	NCBI_Name	NCBI_Rank	NCBI_Superkingdom	NCBI_Kingdom	NCBI_Phylum	NCBI_Class	NCBI_Order	NCBI_Family	NCBI_Genus	NCBI_Species	Intensity 10_18	Intensity 10_9	Intensity 11_18	Intensity 11_9	Intensity 12_18	Intensity 12_9	Intensity 13_18	Intensity 13_9	Intensity 14_18	Intensity 14_9	Intensity 15_18	Intensity 15_9	Intensity 16_18	Intensity 16_9	Intensity 17_18	Intensity 17_9	Intensity 18_18	Intensity 18_9	Intensity 9_18	Intensity 9_9
MGYG000301836	3388	184	29	CAG-590	Genus	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-590												4.2753712440476194E7	4891540.0	6.4386601011904754E7	107642.85714285714	3.681128E7	3194520.0	6.3244898928571425E7	7018855.0	1.9167973934523812E8	2702220.0	3.1975425595238097E7	1454320.0	5.161712514880953E7	9611675.714285715	5.784262E7	2123920.0	8.337404166666666E7	1692216.6666666665	3.9629025238095246E7	7066386.428571428
MGYG000302804	1844	113	12	Acutalibacteraceae	Family	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae													4.405742234042553E7	0.0	8.542345E7	369775.0	1.497355E7	2449620.0	7.479044595744681E7	1625800.0	3.106281340425532E7	46993.0	5.130286E7	51499.0	2.5185116382978722E7	1493820.0	2.395067340425532E7	1056700.0	2.941335E7	2674700.0	3.1572552340425532E7	745350.0
MGYG000301715	248	18	1	Treponema_D sp016296655	Species	Bacteria		Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema_D	Treponema_D sp016296655	Treponema	Genus	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG000302924	1325	91	4	Roseburia	Genus	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia												1.365095E7	0.0	2.0208605E7	175540.0	4.88275875E7	766480.0	1.44786E7	1053787.5	1.4172455E7	98282.5	1.3093545E7	72275.0	9563850.0	125085.0	4132585.0	0.0	1.6697825E7	112602.5	3.71751E7	0.0
MGYG000300868	2520	160	8	Blautia_A	Genus	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A												3.9205408614718616E7	2286430.909090909	2.7262691341991343E7	1030710.0	1.1814414415584417E7	2156150.0	3.964288238095239E7	1104000.0	5.534218954545455E7	0.0	4.499736473593074E7	6358710.0	3.095821852813853E7	651903.3333333333	6.0710683333333336E7	3909250.0	2.0551326493506495E7	638330.0	2.6127710095238093E7	1979300.0
MGYG000301835	224	12	3	UBA6984	Genus	Bacteria		Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	UBA6984												3.8351E7	0.0	5810400.0	6149500.0	2307500.0	0.0	2.84389E7	6678300.0	1.208985E8	0.0	1.5056E7	1545900.0	5.4906E7	0.0	4.96537E7	0.0	2.21005E7	0.0	2.3937E7	0.0
MGYG000300860	3957	143	13	Streptococcus	Genus	Bacteria		Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus												6.31632E7	880150.0	5.78757E7	8635960.0	2.877492E8	2.05772E7	2.65275E7	1607100.0	5.560368E7	1.03324E7	3.58179E7	2.7622E7	4.566333E7	1.52604E7	6.85599E7	1471600.0	3.18281E7	3144200.0	2.478478E7	0.0
MGYG000300509	5919	361	30	Clostridium_AP scindens	Species	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_AP	Clostridium_AP scindens	Lachnospiraceae	Family	Bacteria		Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae			1.269217488008658E8	5163822.142857143	2.714685665800866E8	4113210.0	4.4507634935064934E7	8987880.714285715	2.794710615151515E8	6260000.0	1.3879615183982682E8	2513580.0	1.1616332361471862E8	1.3767807142857144E7	7.283597714285713E7	5218686.428571428	6.177584261904762E7	1982698.5714285714	6.572917428571428E7	7483270.952380952	2.1195794489177486E8	2728278.5714285714
MGYG000299786	2697	244	51	Faecousia sp900770015	Species	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Faecousia	Faecousia sp900770015	Oscillospiraceae	Family	Bacteria		Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae			2.316783552777778E8	7763040.0	1.7700819E8	9.759254E7	1.0277628333333334E8	1.51712E7	2.3749130777777776E8	1.1639893333333334E7	6.514342986111112E8	2.0173953333333336E7	1.0049124916666667E8	2.6609876666666664E7	2.074674802777778E8	1.2876672333333332E7	5.420535E7	1.203498E7	4.652929E7	1.1903626666666668E7	1.9035244444444445E8	6017243.0
MGYG000300510	3139	166	25	Bacteroides fluxus	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fluxus	Bacteroides fluxus	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fluxus	3.674391454545455E7	2672200.0	8.502435636363637E7	0.0	5.14055E7	652080.0	6.865362878787878E7	4680100.0	7.555024303030303E7	0.0	7.671123636363637E7	585950.0	7.079194545454545E7	6080000.0	9.770991818181819E7	4167300.0	3.514274E7	6414630.0	4.106254E7	9624950.0
MGYG000302811	1253	83	10	UBA11524 sp000437595	Species	Bacteria		Firmicutes_A	Clostridia	Christensenellales	CAG-74	UBA11524	UBA11524 sp000437595	Clostridia	Class	Bacteria		Firmicutes	Clostridia					4.1149241666666664E7	5320300.0	6.4399825E7	0.0	5896740.0	0.0	7.013981333333333E7	2427880.0	8.966152166666667E7	0.0	3.2956925E7	470100.0	3.211667E7	1583500.0	1.50941E7	2984830.0	1.091276E7	6705625.0	3.5569173333333336E7	901400.0
MGYG000301601	254	27	5	Fusobacterium_A mortiferum	Species	Bacteria		Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium_A	Fusobacterium_A mortiferum	Fusobacterium mortiferum	Species	Bacteria		Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium mortiferum	1.223156E8	0.0	3.79729E7	1575700.0	2582430.0	639210.0	1.2264515E8	6632200.0	5.62676E7	595580.0	3.55537E7	3912500.0	1.181155E7	2044300.0	9799850.0	0.0	3060800.0	0.0	1.127108E8	0.0
MGYG000301964	648	22	3	UBA11490	Genus	Bacteria		Firmicutes_A	Clostridia	Christensenellales	UBA1242	UBA11490												0.0	0.0	0.0	0.0	0.0	0.0	1.4285E7	0.0	4.33919E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1132800.0
MGYG000301721	3038	190	62	CAG-115	Genus	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	CAG-115												1.6585513866666666E8	3537260.0	5.061726313333333E8	1.0672695E8	8.168664E7	7935330.0	2.4188492633333334E8	2.504479E7	3.209594536666667E8	1.178285E7	1.24142456E8	7835410.0	2.5783164E8	6834200.0	1.439541E8	5033400.0	9.16013E7	1.053856E7	1.35125971E8	2095280.0
MGYG000301603	670	25	5	Bilophila wadsworthia	Species	Bacteria		Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila wadsworthia	Bilophila wadsworthia	Species	Bacteria		Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila wadsworthia	1649300.0	0.0	0.0	214760.0	1646900.0	0.0	7492180.0	0.0	3.982E7	337280.0	3.06617E7	0.0	7293200.0	614960.0	3.478499E7	0.0	2589170.0	0.0	3736420.0	0.0
MGYG000301726	2191	157	107	SFHR01 sp004555545	Species	Bacteria		Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	SFHR01	SFHR01 sp004555545	Dechloromonas aromatica	Species	Bacteria		Proteobacteria	Betaproteobacteria	Rhodocyclales	Azonexaceae	Dechloromonas	Dechloromonas aromatica	3.5478E7	1.307778E7	7.06127E7	2.02727E7	7.21023E7	1.972107E7	9.0291221E8	2.184285E7	6.1937174E8	3.438649E7	9.434826E7	1.476646E7	6.896074E7	1.981598E7	1.7095809E8	1.148518E7	6.49378E7	1.502137E7	8.252912E7	878540.0
MGYG000300878	5428	551	117	Prevotella sp900544495	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900544495	Prevotella	Genus	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella		1.6207924097186148E9	2.120951285714286E7	7.867518803030304E8	2.0288812272727273E7	3.2637344429292923E8	7.668947714285715E7	8.70225737070707E8	3.4137141515151516E7	5.0495932936507946E8	3.788050745454545E7	6.002923709956712E8	2.5707453818181816E7	6.431524815873016E8	2.576474264935065E7	5.490524540476191E8	1.1808801558441559E7	7.406184919523809E8	1.2235850454545455E7	1.2098414443001442E9	5.476478727272727E7
MGYG000301725	451	21	4	Mucispirillum	Genus	Bacteria		Deferribacterota	Deferribacteres	Deferribacterales	Mucispirillaceae	Mucispirillum												1868900.0	0.0	5676100.0	0.0	2202000.0	0.0	0.0	0.0	3947400.0	0.0	6569100.0	0.0	0.0	0.0	1.306261E7	0.0	0.0	0.0	0.0	0.0
MGYG000300991	178	14	2	UBA7748 sp900314535	Species	Bacteria		Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	UBA7748	UBA7748 sp900314535	Coriobacteriaceae	Family	Bacteria		Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae			510450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	876500.0	0.0	9735650.0	0.0	409330.0	0.0	5564200.0	0.0	581100.0	0.0	0.0	0.0
MGYG000301960	616	35	6	CAG-475 sp900763875	Species	Bacteria		Firmicutes_A	Clostridia	Christensenellales	CAG-917	CAG-475	CAG-475 sp900763875	Clostridia	Class	Bacteria		Firmicutes	Clostridia					3.0834E7	0.0	3309100.0	0.0	4263200.0	0.0	0.0	0.0	8901300.0	0.0	0.0	0.0	0.0	5505300.0	0.0	0.0	0.0	0.0	4986300.0	0.0
MGYG000300871	914	71	6	Veillonella_A magna	Species	Bacteria		Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella_A	Veillonella_A magna	Veillonella magna	Species	Bacteria		Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella magna	5.4682854E7	350540.0	0.0	9964.2	1.0995574E7	0.0	1.53326902E8	37832.0	3276632.0	0.0	4.5142041E7	0.0	6.4597562E7	1688810.0	8.807946E7	0.0	2898456.0	27898.0	7.1566048E7	0.0
MGYG000301727	19801	1966	415	Oliverpabstia sp004562915	Species	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Oliverpabstia	Oliverpabstia sp004562915	Bacteria	Subkingdom	Bacteria								7.746568589234087E9	6.281017288095238E8	5.883459163965618E9	1.317600657E9	3.4958445812305474E9	1.7374380766666665E9	8.219680100488473E9	1.3846632733333333E9	7.271574838855191E9	1.0269579076666666E9	5.169184193713925E9	2.0107999917142854E9	4.512973140633131E9	1.6922809776190476E9	4.2159509677494936E9	8.016908565714285E8	3.9308828171587296E9	1.0535662672380952E9	1.0690991380712053E10	9.449198523333333E8
MGYG000301969	868	32	3	CAJMQN01 sp905215695	Species	Bacteria		Firmicutes_A	Clostridia	Christensenellales	HGM11417	CAJMQN01	CAJMQN01 sp905215695	Bacteria	Subkingdom	Bacteria								3982760.0	1498400.0	1439930.0	1183100.0	1243300.0	0.0	6213000.0	0.0	2819080.0	0.0	1.048146E7	1518600.0	2742740.0	989292.0	1.41547E7	0.0	4073340.0	4064450.0	3262710.0	545540.0
MGYG000299993	7910	582	52	Butyrivibrio_A sp016297265	Species	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio_A	Butyrivibrio_A sp016297265	Butyrivibrio	Genus	Bacteria		Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio		4.8125569343891037E8	6151390.0	6.42963934270202E8	2.933094E7	3.815652218181818E8	1.4310585E7	3.9948415334056365E8	1.1267225E7	5.802536181102438E8	3849098.0	1.765121315909091E8	2.98193725E7	2.248174533716151E8	1.431393E7	1.5966867098001292E8	5216180.0	1.7776065792307693E8	9.0117105E7	4.9824439526033896E8	2211820.0
MGYG000301972	60851	6064	2342	Prevotella copri_A	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella copri_A	Prevotella copri	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri	4.3236718887662056E10	1.0103656905E9	2.632205663087219E10	1.8687435918333333E9	5.287156597091453E10	2.0813882866666667E9	3.9159179460652985E10	2.9626117149166665E9	3.826545892224062E10	1.3554617590000002E9	4.084414703037554E10	1.7220484061666665E9	5.4160946591234474E10	1.2742957158333333E9	3.4942665397745316E10	1.0885036291666665E9	6.5543370934757935E10	1.0462960961249999E9	4.194818605090842E10	1.074785792375E9
MGYG000301853	1312	109	25	Succinivibrio sp900316375	Species	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio	Succinivibrio sp900316375	Succinatimonas	Genus	Bacteria		Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinatimonas		8.113764833333333E7	6021920.0	2.191822E8	2958110.0	2.45512E7	1.873135E7	2.979540266666667E8	5958900.0	1.3061823333333334E8	5700600.0	6.313753533333333E8	4376300.0	2.837500833333333E8	1.0005706E7	3.127571866666667E8	3570200.0	3.25148727E8	1.162395E7	7.50498E7	2009200.0
MGYG000301974	5	3	2	MX-02 sp006954405	Species	Archaea		Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	MX-02	MX-02 sp006954405	Methanomassiliicoccales	Order	Archaea		Candidatus Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales				0.0	3.3699E7	0.0	0.0	0.0	0.0	0.0	2201500.0	0.0	0.0	4517900.0	0.0	0.0	3782500.0	0.0	5379100.0	0.0	4035000.0	0.0	0.0
MGYG000300403	1875	79	10	PeH17 sp004556165	Species	Bacteria		Firmicutes_A	Clostridia	Christensenellales	CAG-138	PeH17	PeH17 sp004556165	Eubacteriales	Order	Bacteria		Firmicutes	Clostridia	Eubacteriales				6843300.0	1641800.0	5.26816E7	3226700.0	1.95228E7	0.0	2.12162E7	9297000.0	5980800.0	2958200.0	9058400.0	7484580.0	1.1070375E8	1374900.0	7039600.0	1198600.0	5662000.0	0.0	2.42115E7	2721600.0
MGYG000302824	142	3	1	RUG705	Genus	Bacteria		Firmicutes	Bacilli	RF39	UBA660	RUG705												2224700.0	0.0	1291300.0	0.0	0.0	3310700.0	1829400.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2482E7	0.0
